Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,75.335000,-57.685000,0.000000,top
D2,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,94.380000,-57.700000,0.000000,top
D3,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,113.430000,-57.820000,0.000000,top
D4,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,132.480000,-57.820000,0.000000,top
D5,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,75.335000,-81.535000,0.000000,top
D6,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,94.380000,-81.530000,0.000000,top
D7,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,113.430000,-81.530000,0.000000,top
D8,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,132.480000,-81.530000,0.000000,top
D9,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,75.335000,-105.235000,0.000000,top
D10,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,94.375000,-105.235000,0.000000,top
D11,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,113.439000,-105.228000,0.000000,top
D12,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,132.485000,-105.236000,0.000000,top
